"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Will Tavares","G","6-6","205","SR","Providence, RI"
"1","Chuba Ohams","F","6-8","205","SO","Bronx, NY"
"2","Thomas Sanchez","G","5-9","155","SR","Maspeth, NY"
"3","Nemanja Zarkovic","G","6-3","195","SR","Montreal, PQ"
"4","Brenton Petty","G","5-9","150","SR","Washington, DC"
"5","Tre Evans","G","6-2","185","SO","Edmond, OK"
"10","Erten Gazi","G","6-4","203","JR","Guselyurt, Cyprus"
"12","Joseph Chartouny","G","6-3","205","JR","Montreal, PQ"
"13","Antwon Portley","G","6-4","165","JR","Lancaster, TX"
"14","Chris Downing","F","6-8","235","JR","Orangeburg, NY"
"15","Cavit Havsa","G","6-4","160","SO","Istanbul, Turkey"
"20","Ivan Raut","F","6-7","200","FR","Tivat, Montenegro"
"21","Jesse Bunting","F","6-8","225","JR","Plymouth, MA"
"23","Perris Hicks","G","6-1","180","SR","Los Angeles, CA"
"24","Prokop Slanina","F","6-10","225","JR","Brno, Czech Republic"
"33","David Pekarek","F","6-7","210","JR","Olomouc, Czech Republic"
