"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Jimond Ivey","G","6-4","190","SO","Cleveland, OH"
"1","Josh Williams","G","6-2","185","SO","Akron, OH"
"2","Kwan Cheatham Jr.","F","6-10","235","SR","Cincinnati, OH"
"3","Daniel Utomi","F","6-6","215","FR","Houston, TX"
"5","Craig Eubanks","F","6-4","190","JR","Cleveland, OH"
"10","Aaron Jackson","G","6-8","215","JR","Gahanna, OH"
"11","Tavian Dunn-Martin","G","5-8","155","FR","Huntington, WV"
"12","Marquelle McIntyre","G","5-10","175","FR","Greensboro, NC"
"14","Noah Robotham","G","6-1","165","JR","Las Vegas, NV"
"20","Mark Noble","G","6-2","170","SR","Akron, OH"
"21","Michael Hughes","C","6-9","265","FR","Liberty, MO"
"22","Emmanuel Olojakpoke","F","6-8","190","FR","Houston, TX"
"23","Isaiah Johnson","C","6-10","290","SR","Cincinnati, OH"
"25","Carlitos Anderson","G","6-1","185","SR","Cincinnati, OH"
"31","Ty Dalton","G","6-4","200","FR","Houston, TX"
"55","Antino Jackson","G","5-11","160","JR","Houston, TX"
