"Number","Name","Position","Height","Weight","Class","Hometown"
"1","Ivy Smith Jr.","G","6-0","160","FR","Seattle, WA"
"2","Nigel Ribeiro","G","6-0","170","SO","Chesapeake, VA"
"5","Xairius Larry","G","5-8","175","JR","Farmerville, LA"
"11","Averyl Ugba","F","6-7","225","JR","Silver Spring, MD"
"12","Travius Fielding","G","6-0","180","FR","Arcadia, LA"
"20","Charles Simmons","G","6-5","175","FR","Ahoskie, NC"
"21","Anthony Gaston","G","6-3","200","FR","Richmond, VA"
"23","Marcel Thompson","G","6-3","190","FR","Baltimore, MD"
"24","Diontae Jones","G","6-6","215","JR","Las Vegas, NV"
"32","Drake Wilks","G","6-6","190","FR","Little Rock, AR"
"40","Noah Cummings","C","6-9","260","FR","Pembroke, NC"
